Cryptocurrency,Date,Price
Bitcoin,10/06/2018,6786.02001953125
Bitcoin,11/06/2018,6906.91992187500
Bitcoin,12/06/2018,6582.35986328125
Bitcoin,13/06/2018,6349.89990234375
Bitcoin,14/06/2018,6675.35009765625
Bitcoin,15/06/2018,6456.58007812500
Bitcoin,16/06/2018,6550.16015625000
Bitcoin,17/06/2018,6499.27001953125
Bitcoin,18/06/2018,6734.81982421875
Bitcoin,19/06/2018,6769.93994140625
Bitcoin,20/06/2018,6776.54980468750
Bitcoin,21/06/2018,6729.74023437500
Bitcoin,22/06/2018,6083.68994140625
Bitcoin,23/06/2018,6162.47998046875
Bitcoin,24/06/2018,6173.22998046875
Bitcoin,25/06/2018,6249.18017578125
Bitcoin,26/06/2018,6093.66992187500
Bitcoin,27/06/2018,6157.12988281250
Bitcoin,28/06/2018,5903.43994140625
Bitcoin,29/06/2018,6218.29980468750
Bitcoin,30/06/2018,6404.00000000000
Bitcoin,01/07/2018,6385.81982421875
Bitcoin,02/07/2018,6614.18017578125
Bitcoin,03/07/2018,6529.58984375000
Bitcoin,04/07/2018,6597.54980468750
Bitcoin,05/07/2018,6639.14013671875
Bitcoin,06/07/2018,6673.50000000000
Bitcoin,07/07/2018,6856.93017578125
Bitcoin,08/07/2018,6773.87988281250
Bitcoin,09/07/2018,6741.75000000000
Bitcoin,10/07/2018,6329.95019531250
Bitcoin,11/07/2018,6394.70996093750
Bitcoin,12/07/2018,6228.81005859375
Bitcoin,13/07/2018,6238.04980468750
Bitcoin,14/07/2018,6276.12011718750
Bitcoin,15/07/2018,6359.64013671875
Bitcoin,16/07/2018,6741.75000000000
Bitcoin,17/07/2018,7321.04003906250
Bitcoin,18/07/2018,7370.77978515625
Bitcoin,19/07/2018,7466.85986328125
Bitcoin,20/07/2018,7354.12988281250
Bitcoin,21/07/2018,7419.29003906250
Bitcoin,22/07/2018,7418.49023437500
Bitcoin,23/07/2018,7711.10986328125
Bitcoin,24/07/2018,8424.26953125000
Bitcoin,25/07/2018,8181.39013671875
Bitcoin,26/07/2018,7951.58007812500
Bitcoin,27/07/2018,8165.00976562500
Bitcoin,28/07/2018,8192.15039062500
Bitcoin,29/07/2018,8218.45996093750
Bitcoin,30/07/2018,8180.48000000000
Bitcoin,31/07/2018,7780.44000000000
Bitcoin,01/08/2018,7624.91000000000
Bitcoin,02/08/2018,7567.15000000000
Bitcoin,03/08/2018,7434.39000000000
Bitcoin,04/08/2018,7032.85000000000
Bitcoin,05/08/2018,7068.48000000000
Bitcoin,06/08/2018,6951.80000000000
Bitcoin,07/08/2018,6753.12000000000
Bitcoin,08/08/2018,6305.80000000000
Bitcoin,09/08/2018,6568.23000000000
Bitcoin,10/08/2018,6184.71000000000
Bitcoin,11/08/2018,6295.73000000000
Bitcoin,12/08/2018,6322.69000000000
Bitcoin,13/08/2018,6297.57000000000
Bitcoin,14/08/2018,6199.71000000000
Bitcoin,15/08/2018,6308.52000000000
Bitcoin,16/08/2018,6334.73000000000
Bitcoin,17/08/2018,6580.63000000000
Bitcoin,18/08/2018,6423.76000000000
Bitcoin,19/08/2018,6506.07000000000
Bitcoin,20/08/2018,6308.53000000000
Bitcoin,21/08/2018,6488.76000000000
Bitcoin,22/08/2018,6376.71000000000
Bitcoin,23/08/2018,6534.88000000000
Bitcoin,24/08/2018,6719.96000000000
Bitcoin,25/08/2018,6763.19000000000
Bitcoin,26/08/2018,6707.26000000000
Bitcoin,27/08/2018,6884.64000000000
Bitcoin,28/08/2018,7096.28000000000
Bitcoin,29/08/2018,7047.16000000000
Bitcoin,30/08/2018,6978.23000000000
Bitcoin,31/08/2018,7037.58000000000
Bitcoin,01/09/2018,7193.25000000000
Bitcoin,02/09/2018,7272.72000000000
Bitcoin,03/09/2018,7260.06000000000
Bitcoin,04/09/2018,7361.66000000000
Bitcoin,05/09/2018,6792.83000000000
Bitcoin,06/09/2018,6529.17000000000
Bitcoin,07/09/2018,6467.07000000000
Bitcoin,08/09/2018,6225.98000000000
Bitcoin,09/09/2018,6300.86000000000
Bitcoin,10/09/2018,6329.70000000000
Bitcoin,11/09/2018,6321.20000000000
Bitcoin,12/09/2018,6351.80000000000
Bitcoin,13/09/2018,6517.31000000000
Bitcoin,14/09/2018,6512.71000000000
Bitcoin,15/09/2018,6543.20000000000
Bitcoin,16/09/2018,6517.18000000000
Bitcoin,17/09/2018,6281.20000000000
Bitcoin,18/09/2018,6371.30000000000
Bitcoin,19/09/2018,6398.54000000000
Bitcoin,20/09/2018,6519.67000000000
Bitcoin,21/09/2018,6734.95000000000
Bitcoin,22/09/2018,6721.98000000000
Bitcoin,23/09/2018,6710.63000000000
Bitcoin,24/09/2018,6595.41000000000
Bitcoin,25/09/2018,6446.47000000000
Bitcoin,26/09/2018,6495.00000000000
Bitcoin,27/09/2018,6676.75000000000
Bitcoin,28/09/2018,6644.13000000000
Bitcoin,29/09/2018,6601.96000000000
Bitcoin,30/09/2018,6625.56000000000
Bitcoin,01/10/2018,6589.62000000000
Bitcoin,02/10/2018,6556.10000000000
Bitcoin,03/10/2018,6502.59000000000
Bitcoin,04/10/2018,6576.69000000000
Bitcoin,05/10/2018,6622.48000000000
Bitcoin,06/10/2018,6588.31000000000
Bitcoin,07/10/2018,6602.95000000000
Bitcoin,08/10/2018,6652.23000000000
Bitcoin,09/10/2018,6642.64000000000
Bitcoin,10/10/2018,6585.53000000000
Bitcoin,11/10/2018,6256.24000000000
Bitcoin,12/10/2018,6274.58000000000
Bitcoin,13/10/2018,6285.99000000000
Bitcoin,14/10/2018,6290.93000000000
Bitcoin,15/10/2018,6596.54000000000
Bitcoin,16/10/2018,6596.11000000000
Bitcoin,17/10/2018,6544.43000000000
Bitcoin,18/10/2018,6476.71000000000
Bitcoin,19/10/2018,6465.41000000000
Bitcoin,20/10/2018,6489.19000000000
