timestamp,close,volume
14/09/2021,744.49,18524881
13/09/2021,743,22952482
10/09/2021,736.27,15184170
09/09/2021,754.86,14077731
08/09/2021,753.87,18793036
07/09/2021,752.92,20039825
03/09/2021,733.57,15271045
02/09/2021,732.39,12796739
01/09/2021,734.09,13204335
31/08/2021,735.72,20855436
30/08/2021,730.91,18604220
27/08/2021,711.92,13833763
26/08/2021,701.16,13214292
25/08/2021,711.2,12645562
24/08/2021,708.49,13083071
23/08/2021,706.3,20264859
20/08/2021,680.26,14841865
19/08/2021,673.47,14313486
18/08/2021,688.99,20349375
17/08/2021,665.71,23721279
16/08/2021,686.17,23103303
13/08/2021,717.17,16671844
12/08/2021,722.25,17681686
11/08/2021,707.82,9800558
10/08/2021,709.99,13432305
09/08/2021,713.76,14715349
06/08/2021,699.1,15623049
05/08/2021,714.63,12919637
04/08/2021,710.92,17002647
03/08/2021,709.74,21620253
02/08/2021,709.67,33615765
30/07/2021,687.2,29656411
29/07/2021,677.35,29688446
28/07/2021,646.98,16006596
27/07/2021,644.78,32813290
26/07/2021,657.62,25336556
23/07/2021,643.38,14604944
22/07/2021,649.26,15105727
21/07/2021,655.29,13953338
20/07/2021,660.5,15487127
19/07/2021,646.22,21297090
16/07/2021,644.22,16370970
15/07/2021,650.6,20209571
14/07/2021,653.38,21641190
13/07/2021,668.54,20966092
12/07/2021,685.7,25927042
09/07/2021,656.95,18140548
08/07/2021,652.81,22773316
07/07/2021,644.65,18791960
06/07/2021,659.58,23284450
02/07/2021,678.9,27097374
01/07/2021,677.92,18634522
30/06/2021,679.7,18924862
29/06/2021,680.76,17381313
28/06/2021,688.72,21628159
25/06/2021,671.87,32496707
24/06/2021,679.82,45982386
23/06/2021,656.57,31099228
22/06/2021,623.71,19158892
21/06/2021,620.83,24812741
18/06/2021,623.31,24560905
17/06/2021,616.6,22701350
16/06/2021,604.87,21845739
15/06/2021,599.36,17764145
14/06/2021,617.69,20423983
11/06/2021,609.89,16205303
10/06/2021,610.12,23919606
09/06/2021,598.78,16584566
08/06/2021,603.59,26053405
07/06/2021,605.13,22543682
04/06/2021,599.05,24036896
03/06/2021,572.84,30111893
02/06/2021,605.12,23302779
01/06/2021,623.9,18084890
28/05/2021,625.22,22737038
27/05/2021,630.85,26370593
26/05/2021,619.13,28639305
25/05/2021,604.69,28005933
24/05/2021,606.44,34558089
21/05/2021,580.88,26030595
20/05/2021,586.78,30821119
19/05/2021,563.46,39578395
18/05/2021,577.87,36830567
17/05/2021,576.83,32390360
14/05/2021,589.74,33370856
13/05/2021,571.69,44184916
12/05/2021,589.89,33823646
11/05/2021,617.2,46503896
10/05/2021,629.04,31392417
07/05/2021,672.37,23469172
06/05/2021,663.54,27784619
05/05/2021,670.94,21901894
04/05/2021,673.6,29739319
03/05/2021,684.9,27043143
30/04/2021,709.44,40758722
29/04/2021,677,28845449
28/04/2021,694.4,22271047
27/04/2021,704.74,29436995
26/04/2021,738.2,31038502
23/04/2021,729.4,28413889
22/04/2021,719.69,35590255
21/04/2021,744.12,31215514
20/04/2021,718.99,35609038
19/04/2021,714.63,39686226
16/04/2021,739.78,27979526
15/04/2021,738.85,27848900
14/04/2021,732.23,49017434
13/04/2021,762.32,44652808
12/04/2021,701.98,29135670
09/04/2021,677.02,21437087
08/04/2021,683.8,23924329
07/04/2021,670.97,26309433
06/04/2021,691.62,28271839
05/04/2021,691.05,41842767
01/04/2021,661.75,35298378
31/03/2021,667.93,33337288
30/03/2021,635.62,39432359
29/03/2021,611.29,28636985
26/03/2021,618.71,33852827
25/03/2021,640.39,39224850
24/03/2021,630.27,33795174
23/03/2021,662.16,30491870
22/03/2021,670,39512221
19/03/2021,654.87,42893978
18/03/2021,653.16,33369022
17/03/2021,701.81,40372453
16/03/2021,676.88,32195672
15/03/2021,707.94,29423479
12/03/2021,693.73,33583840
11/03/2021,699.6,36253892
10/03/2021,668.06,60605672
09/03/2021,673.58,67523328
08/03/2021,563,51786958
05/03/2021,597.95,89396459
04/03/2021,621.44,64799898
03/03/2021,653.2,30207960
02/03/2021,686.44,23732158
01/03/2021,718.43,27136239
26/02/2021,675.5,39767316
25/02/2021,682.22,38126722
24/02/2021,742.02,36766950
23/02/2021,698.84,66606882
22/02/2021,714.5,36594555
19/02/2021,781.3,18958255
18/02/2021,787.38,17957058
17/02/2021,798.15,25878526
16/02/2021,796.22,19802324
12/02/2021,816.12,23768313
11/02/2021,811.66,21622753
10/02/2021,804.82,35723444
09/02/2021,849.46,15027305
08/02/2021,863.42,20161719
05/02/2021,852.23,18566637
